78.967023000	172.17.0.2	172.17.0.3
79.168953000	172.17.0.2	172.17.0.3
79.371823000	172.17.0.2	172.17.0.3
79.571450000	172.17.0.2	172.17.0.3
79.777368000	172.17.0.2	172.17.0.3
79.971232000	172.17.0.2	172.17.0.3
80.167441000	172.17.0.2	172.17.0.3
80.366234000	172.17.0.2	172.17.0.3
80.614257000	172.17.0.2	172.17.0.3
80.783226000	172.17.0.2	172.17.0.3
80.973439000	172.17.0.2	172.17.0.3
81.166977000	172.17.0.2	172.17.0.3
81.364820000	172.17.0.2	172.17.0.3
81.569002000	172.17.0.2	172.17.0.3
81.776152000	172.17.0.2	172.17.0.3
81.969824000	172.17.0.2	172.17.0.3
82.175313000	172.17.0.2	172.17.0.3
82.365742000	172.17.0.2	172.17.0.3
82.569263000	172.17.0.2	172.17.0.3
82.767207000	172.17.0.2	172.17.0.3
82.965167000	172.17.0.2	172.17.0.3
83.166568000	172.17.0.2	172.17.0.3
83.374410000	172.17.0.2	172.17.0.3
83.578364000	172.17.0.2	172.17.0.3
83.775018000	172.17.0.2	172.17.0.3
83.968298000	172.17.0.2	172.17.0.3
84.176436000	172.17.0.2	172.17.0.3
84.375382000	172.17.0.2	172.17.0.3
84.566930000	172.17.0.2	172.17.0.3
84.775574000	172.17.0.2	172.17.0.3
84.977386000	172.17.0.2	172.17.0.3
85.171140000	172.17.0.2	172.17.0.3
85.370664000	172.17.0.2	172.17.0.3
85.574088000	172.17.0.2	172.17.0.3
85.776852000	172.17.0.2	172.17.0.3
85.969923000	172.17.0.2	172.17.0.3
86.165743000	172.17.0.2	172.17.0.3
86.365286000	172.17.0.2	172.17.0.3
86.569813000	172.17.0.2	172.17.0.3
86.778598000	172.17.0.2	172.17.0.3
86.976242000	172.17.0.2	172.17.0.3
87.171406000	172.17.0.2	172.17.0.3
87.370790000	172.17.0.2	172.17.0.3
87.569736000	172.17.0.2	172.17.0.3
87.765445000	172.17.0.2	172.17.0.3
87.967145000	172.17.0.2	172.17.0.3
88.172236000	172.17.0.2	172.17.0.3
88.371012000	172.17.0.2	172.17.0.3
88.578344000	172.17.0.2	172.17.0.3
88.772950000	172.17.0.2	172.17.0.3
88.973000000	172.17.0.2	172.17.0.3
89.165899000	172.17.0.2	172.17.0.3
89.372850000	172.17.0.2	172.17.0.3
89.579640000	172.17.0.2	172.17.0.3
89.804875000	172.17.0.2	172.17.0.3
89.979309000	172.17.0.2	172.17.0.3
90.168663000	172.17.0.2	172.17.0.3
90.375639000	172.17.0.2	172.17.0.3
90.573955000	172.17.0.2	172.17.0.3
90.780020000	172.17.0.2	172.17.0.3
90.965346000	172.17.0.2	172.17.0.3
91.173640000	172.17.0.2	172.17.0.3
91.366778000	172.17.0.2	172.17.0.3
91.565397000	172.17.0.2	172.17.0.3
91.765007000	172.17.0.2	172.17.0.3
91.977922000	172.17.0.2	172.17.0.3
92.171414000	172.17.0.2	172.17.0.3
92.367600000	172.17.0.2	172.17.0.3
92.574900000	172.17.0.2	172.17.0.3
92.771529000	172.17.0.2	172.17.0.3
92.966258000	172.17.0.2	172.17.0.3
93.166636000	172.17.0.2	172.17.0.3
93.368543000	172.17.0.2	172.17.0.3
93.571095000	172.17.0.2	172.17.0.3
93.777920000	172.17.0.2	172.17.0.3
93.978779000	172.17.0.2	172.17.0.3
94.172390000	172.17.0.2	172.17.0.3
94.367536000	172.17.0.2	172.17.0.3
94.572270000	172.17.0.2	172.17.0.3
94.767270000	172.17.0.2	172.17.0.3
94.973041000	172.17.0.2	172.17.0.3
95.166991000	172.17.0.2	172.17.0.3
95.373891000	172.17.0.2	172.17.0.3
95.575826000	172.17.0.2	172.17.0.3
95.769859000	172.17.0.2	172.17.0.3
95.976256000	172.17.0.2	172.17.0.3
96.166263000	172.17.0.2	172.17.0.3
96.365650000	172.17.0.2	172.17.0.3
96.575657000	172.17.0.2	172.17.0.3
96.777217000	172.17.0.2	172.17.0.3
96.965400000	172.17.0.2	172.17.0.3
97.173532000	172.17.0.2	172.17.0.3
97.367817000	172.17.0.2	172.17.0.3
97.570083000	172.17.0.2	172.17.0.3
97.765043000	172.17.0.2	172.17.0.3
97.972865000	172.17.0.2	172.17.0.3
98.175423000	172.17.0.2	172.17.0.3
98.370814000	172.17.0.2	172.17.0.3
98.569843000	172.17.0.2	172.17.0.3
